date,shop,genre,predicted_sales
2019-05-01,12805,560271,1
2019-05-02,12805,560271,1
2019-05-03,12805,560271,1
2019-05-04,12805,560271,1
2019-05-05,12805,560271,2
2019-05-06,12805,560271,1
2019-05-07,12805,560271,1
2019-05-08,12805,560271,1
2019-05-09,12805,560271,1
2019-05-10,12805,560271,1
2019-05-11,12805,560271,1
2019-05-12,12805,560271,1
2019-05-13,12805,560271,1
2019-05-14,12805,560271,1
2019-05-15,12805,560271,1
2019-05-16,12805,560271,1
2019-05-17,12805,560271,1
2019-05-18,12805,560271,1
2019-05-19,12805,560271,1
2019-05-20,12805,560271,1
2019-05-21,12805,560271,1
2019-05-22,12805,560271,1
2019-05-23,12805,560271,1
2019-05-24,12805,560271,1
2019-05-25,12805,560271,1
2019-05-26,12805,560271,1
2019-05-27,12805,560271,1
2019-05-28,12805,560271,1
2019-05-29,12805,560271,1
2019-05-30,12805,560271,1
2019-05-31,12805,560271,1
2019-05-01,12819,502221,12283
2019-05-02,12819,502221,10776
2019-05-03,12819,502221,11167
2019-05-04,12819,502221,12268
2019-05-05,12819,502221,21031
2019-05-06,12819,502221,13128
2019-05-07,12819,502221,13696
2019-05-08,12819,502221,12188
2019-05-09,12819,502221,12396
2019-05-10,12819,502221,18608
2019-05-11,12819,502221,15144
2019-05-12,12819,502221,14715
2019-05-13,12819,502221,11760
2019-05-14,12819,502221,9882
2019-05-15,12819,502221,13610
2019-05-16,12819,502221,8297
2019-05-17,12819,502221,6683
2019-05-18,12819,502221,7169
2019-05-19,12819,502221,7766
2019-05-20,12819,502221,9796
2019-05-21,12819,502221,6403
2019-05-22,12819,502221,6423
2019-05-23,12819,502221,5991
2019-05-24,12819,502221,6504
2019-05-25,12819,502221,10537
2019-05-26,12819,502221,20586
2019-05-27,12819,502221,25383
2019-05-28,12819,502221,29886
2019-05-29,12819,502221,34093
2019-05-30,12819,502221,48327
2019-05-31,12819,502221,34104
2019-05-01,13261,558873,56
2019-05-02,13261,558873,27
2019-05-03,13261,558873,27
2019-05-04,13261,558873,28
2019-05-06,13261,558873,28
2019-05-09,13261,558873,27
2019-05-11,13261,558873,28
2019-05-12,13261,558873,31
2019-05-13,13261,558873,28
2019-05-14,13261,558873,28
2019-05-15,13261,558873,38
2019-05-16,13261,558873,27
2019-05-17,13261,558873,27
2019-05-18,13261,558873,28
2019-05-20,13261,558873,38
2019-05-21,13261,558873,28
2019-05-22,13261,558873,28
2019-05-24,13261,558873,27
2019-05-26,13261,558873,31
2019-05-28,13261,558873,28
2019-05-29,13261,558873,28
2019-05-31,13261,558873,27
2019-05-01,13374,507843,41
2019-05-02,13374,507843,40
2019-05-03,13374,507843,37
2019-05-04,13374,507843,38
2019-05-05,13374,507843,64
2019-05-06,13374,507843,38
2019-05-08,13374,507843,41
2019-05-09,13374,507843,40
2019-05-10,13374,507843,55
2019-05-11,13374,507843,43
2019-05-13,13374,507843,44
2019-05-14,13374,507843,45
2019-05-15,13374,507843,63
2019-05-16,13374,507843,45
2019-05-17,13374,507843,41
2019-05-18,13374,507843,43
2019-05-21,13374,507843,40
2019-05-24,13374,507843,37
2019-05-25,13374,507843,58
2019-05-26,13374,507843,41
2019-05-27,13374,507843,38
2019-05-28,13374,507843,40
2019-05-29,13374,507843,41
2019-05-30,13374,507843,60
2019-05-31,13374,507843,37
2019-05-01,14293,201184,682
2019-05-02,14293,201184,628
2019-05-03,14293,201184,594
2019-05-04,14293,201184,670
2019-05-05,14293,201184,1092
2019-05-06,14293,201184,660
2019-05-07,14293,201184,717
2019-05-08,14293,201184,494
2019-05-09,14293,201184,494
2019-05-10,14293,201184,648
2019-05-11,14293,201184,541
2019-05-12,14293,201184,281
2019-05-13,14293,201184,254
2019-05-14,14293,201184,277
2019-05-15,14293,201184,338
2019-05-16,14293,201184,242
2019-05-17,14293,201184,228
