shop,genre,sales,units,page_views
16765,301577,55000,4,2323
16765,502221,276650,6,2014
16765,502280,14850,1,25
16765,551180,1400700,365,10363
16765,558846,83169700,18569,525069
16765,558873,64837145,4166,461889
16799,100487,12000,1,91
16799,206440,1472493,79,21154
16799,206471,387100,24,8971
16799,216158,0,0,35
16799,551180,0,0,301
16799,558846,0,0,45
16799,558873,0,0,208
16799,560271,0,0,75
16833,507843,29287893,3003,50839
16833,510003,5982530,1328,31063
16833,567538,8121110,833,18767
16891,100181,131040,18,989
16891,204586,2396190,35,4820
16891,206440,18890,26,2141
16891,206471,7990,7,383
16891,207288,27320,26,2454
16891,208532,939310,43,2680
16891,212377,49440,3,345
16891,402279,1380,1,239
16891,502835,296590,27,564
16891,508599,0,0,12
16891,564286,1309480,14,6127
16891,564895,1367402,142,10827
16914,205582,978789,132,5030
16914,207288,54921,13,2307
16914,301577,217280,34,7598
16914,402279,0,0,116
16914,408789,1500,1,247
16914,502221,422861,34,7819
16914,502280,42900,5,1666
16914,560271,553370,63,3169
16932,110365,18900,4,2040
16932,201632,27000,10,856
16932,205272,502800,80,4698
16932,205582,263028,24,3448
16932,301577,1184645,74,13171
16932,408789,293065,106,6634
16932,551228,2303410,136,59982
16932,560271,29500,9,1899
